date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:06:10	4118/4118	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2007%20Jun%202019%2004:06:07%20GMT	https://www.learnrazorpages.com/robots.txt		(from )
05:06:10	22690/22690	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2007%20Jun%202019%2004:06:07%20GMT	https://www.learnrazorpages.com/	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/index.html	(from )
05:06:11	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2007%20Jun%202019%2004:06:08%20GMT	https://cse.google.com/cse.js?cx=	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/cse.google.com/cse.4a07b6.delayed	(from https://www.learnrazorpages.com/)
05:06:11	121260/121260	U-----	200	untouched ('OK')	text/css	etag:%22b91661f1cb33d21:0%22	https://ajax.aspnetcdn.com/ajax/bootstrap/3.3.6/css/bootstrap.min.css	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/ajax.aspnetcdn.com/ajax/bootstrap/3.3.6/css/bootstrap.min.css	(from https://www.learnrazorpages.com/)
05:06:12	48649/48649	U-----	200	untouched ('OK')	text/css	etag:W/%2210519cfd3206802f58315b877a9beab5%22	https://use.fontawesome.com/releases/v5.3.1/css/all.css	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/use.fontawesome.com/releases/v5.3.1/css/all.css	(from https://www.learnrazorpages.com/)
05:06:16	89801/89801	U--MC-	200	updated ('OK')	text/javascript	date:Fri,%2007%20Jun%202019%2004:06:09%20GMT	http://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://www.learnrazorpages.com/)
05:06:17	18443/18443	U--MCZ	200	updated ('OK')	application/javascript	etag:W/%228fc3e48451b6bbfbaf957e9ce3e8b49831a91b57%22	https://cdn.rawgit.com/google/code-prettify/master/loader/run_prettify.js	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/cdn.rawgit.com/google/code-prettify/master/loader/run_prettify.js	(from https://www.learnrazorpages.com/)
05:06:19	28130/28130	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2007%20Jun%202019%2004:06:14%20GMT	https://www.learnrazorpages.com/first-look	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/first-look.html	(from https://www.learnrazorpages.com/)
05:06:20	21202/21202	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2007%20Jun%202019%2004:06:15%20GMT	https://www.learnrazorpages.com/asp-net-core	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/asp-net-core.html	(from https://www.learnrazorpages.com/)
05:06:21	29464/29464	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2007%20Jun%202019%2004:06:16%20GMT	https://www.learnrazorpages.com/razor-pages/tutorial/bakery	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/razor-pages/tutorial/bakery.html	(from https://www.learnrazorpages.com/)
05:06:22	25812/25812	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2007%20Jun%202019%2004:06:17%20GMT	https://www.learnrazorpages.com/razor-pages	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/razor-pages.html	(from https://www.learnrazorpages.com/)
05:06:23	21141/21141	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2007%20Jun%202019%2004:06:19%20GMT	https://www.learnrazorpages.com/razor-pages/files/	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/razor-pages/files/index.html	(from https://www.learnrazorpages.com/)
05:06:24	27822/27822	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2007%20Jun%202019%2004:06:19%20GMT	https://www.learnrazorpages.com/razor-pages/partial-pages	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/razor-pages/partial-pages.html	(from https://www.learnrazorpages.com/)
05:06:26	26556/26556	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2007%20Jun%202019%2004:06:21%20GMT	https://www.learnrazorpages.com/razor-pages/files/layout	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/razor-pages/files/layout.html	(from https://www.learnrazorpages.com/)
05:06:26	22251/22251	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2007%20Jun%202019%2004:06:21%20GMT	https://www.learnrazorpages.com/razor-pages/files/viewimports	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/razor-pages/files/viewimports.html	(from https://www.learnrazorpages.com/)
