date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:43:51	4088/4088	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2007%20Jun%202019%2003:43:47%20GMT	https://www.learnrazorpages.com/robots.txt		(from )
04:43:51	22690/22690	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2007%20Jun%202019%2003:43:47%20GMT	https://www.learnrazorpages.com/	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/index.html	(from )
04:43:52	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2007%20Jun%202019%2003:43:48%20GMT	https://cse.google.com/cse.js?cx=	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/cse.google.com/cse.4a07b6.delayed	(from https://www.learnrazorpages.com/)
04:43:52	121260/121260	U-----	200	untouched ('OK')	text/css	etag:%22b91661f1cb33d21:0%22	https://ajax.aspnetcdn.com/ajax/bootstrap/3.3.6/css/bootstrap.min.css	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/ajax.aspnetcdn.com/ajax/bootstrap/3.3.6/css/bootstrap.min.css	(from https://www.learnrazorpages.com/)
04:43:52	7292/7292	U-----	200	untouched ('OK')	text/css	etag:W/%221d505a6bc59b47c%22	https://www.learnrazorpages.com/css/site.css?v=PCA7f9VuZUscxMwrePJfyFKXCF9mh2dMpXEDQU8oP3o	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/css/site8249.css	(from https://www.learnrazorpages.com/)
04:43:54	48649/48649	U-----	200	untouched ('OK')	text/css	etag:W/%2210519cfd3206802f58315b877a9beab5%22	https://use.fontawesome.com/releases/v5.3.1/css/all.css	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/use.fontawesome.com/releases/v5.3.1/css/all.css	(from https://www.learnrazorpages.com/)
04:43:55	28130/28130	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2007%20Jun%202019%2003:43:51%20GMT	https://www.learnrazorpages.com/first-look	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/first-look.html	(from https://www.learnrazorpages.com/)
04:43:56	21202/21202	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2007%20Jun%202019%2003:43:52%20GMT	https://www.learnrazorpages.com/asp-net-core	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/asp-net-core.html	(from https://www.learnrazorpages.com/)
04:43:57	29464/29464	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2007%20Jun%202019%2003:43:53%20GMT	https://www.learnrazorpages.com/razor-pages/tutorial/bakery	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/razor-pages/tutorial/bakery.html	(from https://www.learnrazorpages.com/)
04:43:57	18443/18443	U--MCZ	200	updated ('OK')	application/javascript	etag:W/%228fc3e48451b6bbfbaf957e9ce3e8b49831a91b57%22	https://cdn.rawgit.com/google/code-prettify/master/loader/run_prettify.js	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/cdn.rawgit.com/google/code-prettify/master/loader/run_prettify.js	(from https://www.learnrazorpages.com/)
04:43:58	25812/25812	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2007%20Jun%202019%2003:43:54%20GMT	https://www.learnrazorpages.com/razor-pages	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/razor-pages.html	(from https://www.learnrazorpages.com/)
04:43:58	89801/89801	U--MC-	200	updated ('OK')	text/javascript	date:Fri,%2007%20Jun%202019%2003:43:49%20GMT	http://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://www.learnrazorpages.com/)
04:43:58	122/122	U-----	200	untouched ('OK')	text/css	etag:W/%221d505a6bc59a87a%22	https://www.learnrazorpages.com/css/rp.css?v=ZxkVB0StHjR5-UMElJII7nwWe6Wmc6_qgJ97GsY4yNw	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/css/rp14c5.css	(from https://www.learnrazorpages.com/)
04:43:59	27822/27822	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2007%20Jun%202019%2003:43:55%20GMT	https://www.learnrazorpages.com/razor-pages/partial-pages	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/razor-pages/partial-pages.html	(from https://www.learnrazorpages.com/)
04:44:00	21141/21141	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2007%20Jun%202019%2003:43:55%20GMT	https://www.learnrazorpages.com/razor-pages/files/	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/razor-pages/files/index.html	(from https://www.learnrazorpages.com/)
04:44:00	26556/26556	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2007%20Jun%202019%2003:43:55%20GMT	https://www.learnrazorpages.com/razor-pages/files/layout	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/razor-pages/files/layout.html	(from https://www.learnrazorpages.com/)
04:44:01	22251/22251	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2007%20Jun%202019%2003:43:55%20GMT	https://www.learnrazorpages.com/razor-pages/files/viewimports	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/razor-pages/files/viewimports.html	(from https://www.learnrazorpages.com/)
04:44:01	19065/19065	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2007%20Jun%202019%2003:43:56%20GMT	https://www.learnrazorpages.com/razor-pages/files/viewstart	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/razor-pages/files/viewstart.html	(from https://www.learnrazorpages.com/)
04:44:02	24203/24203	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2007%20Jun%202019%2003:43:57%20GMT	https://www.learnrazorpages.com/razor-syntax	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/razor-syntax.html	(from https://www.learnrazorpages.com/)
04:44:02	26354/26354	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2007%20Jun%202019%2003:43:57%20GMT	https://www.learnrazorpages.com/razor-pages/pagemodel	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/razor-pages/pagemodel.html	(from https://www.learnrazorpages.com/)
04:44:03	30282/30282	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2007%20Jun%202019%2003:43:58%20GMT	https://www.learnrazorpages.com/razor-pages/handler-methods	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/razor-pages/handler-methods.html	(from https://www.learnrazorpages.com/)
04:44:03	22282/22282	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2007%20Jun%202019%2003:43:58%20GMT	https://www.learnrazorpages.com/razor-pages/viewdata	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/razor-pages/viewdata.html	(from https://www.learnrazorpages.com/)
04:44:03	28574/28574	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2007%20Jun%202019%2003:43:59%20GMT	https://www.learnrazorpages.com/razor-pages/action-results	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/razor-pages/action-results.html	(from https://www.learnrazorpages.com/)
04:44:03	26295/26295	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2007%20Jun%202019%2003:43:59%20GMT	https://www.learnrazorpages.com/razor-pages/tag-helpers/	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/razor-pages/tag-helpers/index.html	(from https://www.learnrazorpages.com/)
04:44:03	27832/27832	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2007%20Jun%202019%2003:44:00%20GMT	https://www.learnrazorpages.com/razor-pages/tag-helpers/anchor-tag-helper	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/razor-pages/tag-helpers/anchor-tag-helper.html	(from https://www.learnrazorpages.com/)
04:44:05	18176/18176	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2007%20Jun%202019%2003:44:00%20GMT	https://www.learnrazorpages.com/razor-pages/tag-helpers/distributed-cache-tag-helper	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/razor-pages/tag-helpers/distributed-cache-tag-helper.html	(from https://www.learnrazorpages.com/)
04:44:05	26360/26360	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2007%20Jun%202019%2003:44:00%20GMT	https://www.learnrazorpages.com/razor-pages/tag-helpers/cache-tag-helper	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/razor-pages/tag-helpers/cache-tag-helper.html	(from https://www.learnrazorpages.com/)
04:44:05	20551/20551	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2007%20Jun%202019%2003:44:00%20GMT	https://www.learnrazorpages.com/razor-pages/tag-helpers/environment-tag-helper	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/razor-pages/tag-helpers/environment-tag-helper.html	(from https://www.learnrazorpages.com/)
04:44:05	23854/23854	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2007%20Jun%202019%2003:44:00%20GMT	https://www.learnrazorpages.com/razor-pages/tag-helpers/form-action-tag-helper	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/razor-pages/tag-helpers/form-action-tag-helper.html	(from https://www.learnrazorpages.com/)
04:44:06	24276/24276	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2007%20Jun%202019%2003:44:02%20GMT	https://www.learnrazorpages.com/razor-pages/tag-helpers/form-tag-helper	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/razor-pages/tag-helpers/form-tag-helper.html	(from https://www.learnrazorpages.com/)
04:44:06	20561/20561	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2007%20Jun%202019%2003:44:02%20GMT	https://www.learnrazorpages.com/razor-pages/tag-helpers/label-tag-helper	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/razor-pages/tag-helpers/label-tag-helper.html	(from https://www.learnrazorpages.com/)
04:44:07	20318/20318	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2007%20Jun%202019%2003:44:02%20GMT	https://www.learnrazorpages.com/razor-pages/tag-helpers/image-tag-helper	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/razor-pages/tag-helpers/image-tag-helper.html	(from https://www.learnrazorpages.com/)
04:44:07	30272/30272	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2007%20Jun%202019%2003:44:02%20GMT	https://www.learnrazorpages.com/razor-pages/tag-helpers/input-tag-helper	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/razor-pages/tag-helpers/input-tag-helper.html	(from https://www.learnrazorpages.com/)
04:44:07	24309/24309	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2007%20Jun%202019%2003:44:03%20GMT	https://www.learnrazorpages.com/razor-pages/tag-helpers/link-tag-helper	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/razor-pages/tag-helpers/link-tag-helper.html	(from https://www.learnrazorpages.com/)
04:44:09	23167/23167	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2007%20Jun%202019%2003:44:04%20GMT	https://www.learnrazorpages.com/razor-pages/tag-helpers/script-tag-helper	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/razor-pages/tag-helpers/script-tag-helper.html	(from https://www.learnrazorpages.com/)
04:44:09	21331/21331	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2007%20Jun%202019%2003:44:04%20GMT	https://www.learnrazorpages.com/razor-pages/tag-helpers/partial-tag-helper	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/razor-pages/tag-helpers/partial-tag-helper.html	(from https://www.learnrazorpages.com/)
04:44:09	22003/22003	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2007%20Jun%202019%2003:44:04%20GMT	https://www.learnrazorpages.com/razor-pages/tag-helpers/option-tag-helper	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/razor-pages/tag-helpers/option-tag-helper.html	(from https://www.learnrazorpages.com/)
04:44:09	30597/30597	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2007%20Jun%202019%2003:44:04%20GMT	https://www.learnrazorpages.com/razor-pages/tag-helpers/select-tag-helper	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/razor-pages/tag-helpers/select-tag-helper.html	(from https://www.learnrazorpages.com/)
04:44:10	20245/20245	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2007%20Jun%202019%2003:44:06%20GMT	https://www.learnrazorpages.com/razor-pages/tag-helpers/textarea-tag-helper	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/razor-pages/tag-helpers/textarea-tag-helper.html	(from https://www.learnrazorpages.com/)
